Distance,Base Angle,Movement,Sentence
Close,Side,YES,"Dans cette pièce, il y a : au plafond : un luminaire ; au sol : un tapis ; à gauche : une armoire ; à droite : une commode."
Close,Side,NO,"Dans cette pièce, il y a : au plafond : un ventilateur ; à droite : une commode ; au sol : du carrelage ; à gauche : un lit."
Close,Side,YES,"Dans cette pièce, il y a : au plafond : un luminaire ; au sol : un tapis ; à gauche : une armoire ; à droite : une commode."
Close,Side,NO,"Oui, j'ai déjà vu Les Affranchis, mais non, je n'ai jamais vu Duel."
Close,Side,NO,"Oui, j'ai déjà vu Les Affranchis, mais non, je n'ai jamais vu Duel."
Close,Side,YES,"Dans cette pièce, il y a : au plafond : un ventilateur ; à droite : une commode ; au sol : du carrelage ; à gauche : un lit."
Close,Side,NO,"Oui, j'ai déjà vu Le Parrain, mais non, je n'ai jamais vu Les Affranchis."
Close,Side,NO,"Oui, j'ai déjà vu Le Parrain, mais non, je n'ai jamais vu Les Affranchis."
Close,Side,YES,"Oui, j'ai déjà vu Les Affranchis, mais non, je n'ai jamais vu Duel."
Close,Side,NO,"Dans cette pièce, il y a : au plafond : un ventilateur ; à droite : une commode ; au sol : du carrelage ; à gauche : un lit."
Close,Side,YES,"Oui, j'ai déjà vu Les Affranchis, mais non, je n'ai jamais vu Duel."
Close,Side,YES,"Oui, j'ai déjà vu Le Parrain, mais non, je n'ai jamais vu Les Affranchis."
Close,Side,NO,"Dans cette pièce, il y a : à droite : un lit ; au plafond : un luminaire ; au sol : du parquet ; à gauche : une armoire."
Close,Side,YES,"Dans cette pièce, il y a : au plafond : un ventilateur ; à droite : une commode ; au sol : du carrelage ; à gauche : un lit."
Close,Side,YES,"Oui, j'ai déjà vu Les Affranchis, mais non, je n'ai jamais vu Duel."
Close,Side,YES,"Dans cette pièce, il y a : à droite : un lit ; au plafond : un luminaire ; au sol : du parquet ; à gauche : une armoire."
Close,Side,YES,"Oui, j'ai déjà vu Le Parrain, mais non, je n'ai jamais vu Fargo."
Close,Side,YES,"Oui, j'ai déjà vu Le Parrain, mais non, je n'ai jamais vu Fargo."
Close,Side,YES,"Oui, j'ai déjà vu Le Parrain, mais non, je n'ai jamais vu Les Affranchis."
Close,Side,YES,"Dans cette pièce, il y a : à droite : un lit ; au plafond : un luminaire ; au sol : du parquet ; à gauche : une armoire."
Close,Side,NO,"Oui, j'ai déjà vu Le Parrain, mais non, je n'ai jamais vu Les Affranchis."
Close,Side,NO,"Dans cette pièce, il y a : au plafond : un luminaire ; au sol : un tapis ; à gauche : une armoire ; à droite : une commode."
Close,Side,YES,"Dans cette pièce, il y a : au plafond : un luminaire ; au sol : un tapis ; à gauche : une armoire ; à droite : une commode."
Close,Side,NO,"Oui, j'ai déjà vu Les Affranchis, mais non, je n'ai jamais vu Duel."
Close,Side,YES,"Dans cette pièce, il y a : à droite : un lit ; au plafond : un luminaire ; au sol : du parquet ; à gauche : une armoire."
